course_id,relation_id,relation_type,grade_requirement
115899,116757,pre,C-
115901,116746,pre,C-
115901,116757,pre,C-
115902,116746,pre,C-
115902,116757,pre,C-
115903,116746,pre,C-
115903,116757,pre,C-
115904,116746,pre,C-
115904,116757,pre,C-
115909,115908,pre,C-
115910,116964,pre,C-
115910,118187,pre,C-
115912,115911,pre,C-
115913,115262,cross,
115914,118433,cross,
115914,116765,pre,C-
115914,115074,pre,C-
115914,120126,pre,C-
115914,120136,pre,C-
115915,116876,co,C-
115915,115074,pre,C-
115915,120135,pre,C-
115916,115915,pre,C-
115916,116876,pre,C-
115917,115915,pre,C-
115917,115916,pre,C-
115917,115918,pre,C-
115917,115922,pre,C-
115917,115928,pre,C-
115917,120026,pre,C-
115918,115915,pre,C-
115918,115928,pre,C-
115919,115915,pre,C-
115919,115916,pre,C-
115919,115918,pre,C-
115919,115922,pre,C-
115919,115928,pre,C-
115919,120026,pre,C-
115920,114935,pre,C-
115921,115916,co,C-
115921,115918,co,C-
115921,115915,pre,C-
115921,115922,pre,C-
115921,115928,pre,C-
115921,120026,pre,C-
115922,117712,cross,
115922,120135,pre,C-
115923,115917,co,C-
115923,115919,co,C-
115923,120026,pre,C-
115923,115921,pre,C-
115923,115928,pre,C-
115923,115918,pre,C-
115924,115917,co,C-
115924,115919,co,C-
115925,117277,cross,
115925,115074,pre,C-
115925,114931,pre,C-
115927,115919,pre,C-
115928,120219,pre,C-
115928,120136,pre,C-
115928,115074,pre,C-
115928,115789,pre,C-
115928,115790,pre,C-
115929,115964,pre,C-
115929,115973,pre,C-
115929,115974,pre,C-
115929,115980,pre,C-
115929,115917,pre,C-
115930,115929,preco,C-
115931,115919,pre,C-
115932,115916,pre,C-
115932,120135,pre,C-
115933,115907,pre,C-
115934,115919,pre,C-
115936,115950,co,C-
115937,115950,pre,C-
115937,115936,pre,C-
115937,115936,pre,C-
115938,118209,cross,
115939,115952,cross,
115941,115924,pre,C-
115942,115377,pre,C-
115942,118359,pre,C-
115942,120168,pre,C-
115944,115929,pre,C-
115946,115950,pre,C-
115946,115936,pre,C-
115949,115259,cross,
115949,116140,cross,
115949,116863,cross,
115949,117001,cross,
115949,117713,cross,
115949,118210,cross,
