course_id,prereq_id
115400,120167
115400,115062
115401,115789
115401,115790
115401,115399
115401,118214
115401,115400
115402,115400
115402,118214
115405,115346
115411,115275
115411,115279
115412,115275
115412,115275
115442,115422
115444,116997
115444,115537
115447,115422
115449,116997
115449,115537
115450,115537
115450,115547
115451,115537
115451,115547
115453,116997
115453,115537
115459,116997
115459,115452
115463,115462
115464,115462
115465,115462
115466,115462
115467,115462
115468,115462
115469,115462
115470,115462
115479,115476
115492,115422
115493,115492
115494,115492
115495,115492
115496,115492
115497,115492
115498,115492
115499,115492
115506,115500
115509,115553
115509,115419
115509,116993
115509,115422
115509,115462
115509,115475
115509,115483
115509,115492
115509,115500
115509,116991
115509,115419
115509,116993
115509,115422
115509,115462
115509,115475
115509,115483
115509,115492
115509,115500
115521,116997
115521,115450
115523,116997
115523,115537
115524,115505
115524,119786
115525,116993
115525,117519
115527,115458
115528,116997
115528,115547
115535,115422
115535,115492
115538,116997
115538,115446
115538,115537
115545,116997
115547,116997
115547,115537
115548,115430
115549,116997
115549,115547
115550,115425
115563,115356
115563,123028
115563,115356
115563,115341
115563,120166
115563,115352
115563,120167
115563,115377
115563,120168
115563,123028
115563,115364
115563,120171
115565,115563
115565,115564
115567,119693
115567,119758
115567,119866
115568,115566
115569,115567
115569,115568
115570,115567
115570,115568
115571,115563
115573,115572
115574,115563
115575,115563
115576,115575
115577,119693
115577,119758
115577,119866
115577,115572
115577,115573
115578,119693
115578,119758
115578,119866
115578,115572
115578,115573
115579,119693
115579,119758
115579,119866
115579,115572
115579,115573
115579,115574
115579,115583
115580,119693
115580,119758
115580,119866
115581,115566
115581,115572
115582,119693
115582,119758
115582,119866
115582,115566
115582,115572
115582,115573
115582,115574
115583,115565
115583,115574
115583,116484
115583,116336
115583,115607
115585,115584
115587,119693
115587,119758
115587,119866
115589,119693
115589,119758
115589,119866
115589,115588
115591,115583
115592,115583
115593,115588
115597,115563
115597,119693
115597,119748
115597,119865
115597,115572
115597,115573
115598,115586
115601,115572
115602,115572
115602,115574
115603,115563
115604,115572
115604,115601
115605,115583
115606,115588
115607,115364
115607,120171
115609,115608
115610,115608
115611,115608
115611,115623
115612,115608
115613,115608
115616,115608
115617,115608
115618,115608
115619,115608
115620,115607
115620,115608
115621,115608
115621,115615
115621,115616
115621,115620
115621,119693
115621,119758
115621,119866
115621,115623
115623,115607
115623,115364
115623,120171
115624,115607
115624,115623
115624,117499
115624,117721
115624,116489
115624,120184
115626,115607
115627,115608
115628,115608
115628,115623
115629,115608
115630,115608
115631,115608
115633,115607
115634,115623
115635,115607
115636,115623
115637,115623
115638,115633
115638,115634
115645,115642
115646,119693
115646,119758
115646,119866
115648,115640
115648,115642
115648,119693
115648,119758
115648,119866
115649,115664
115649,115642
115650,119693
115650,119758
115650,119866
115650,115642
115650,115646
115650,115648
115650,115649
115652,115651
115652,119693
115652,119758
115652,119866
115653,115651
115653,119693
115653,119758
115653,119866
115655,119693
115655,119758
115655,119866
115659,119693
115659,119758
115659,119866
115660,115651
115660,115652
115670,115668
115671,115669
115673,115667
115673,115669
115674,115667
115674,115666
115674,115668
115674,115669
115675,115667
115675,115666
115675,115668
115675,115669
115677,119693
115677,119758
115677,119866
115678,115668
115678,115669
115678,119693
115678,119758
115678,119866
115679,115684
115683,115669
115684,115667
115684,115666
115696,115693
115703,115651
115703,115653
115707,115705
115707,115706
115714,115685
115714,115682
115714,115623
115716,119693
115716,119758
115716,119866
115725,115693
115726,119693
115726,119748
115726,119865
115729,115021
115729,115022
115733,116728
115734,118194
115734,119204
115751,114870
115759,114870
115760,114870
115761,115781
115761,115783
115763,114870
115763,114918
115766,118695
115778,118696
115783,115782
115783,115781
115784,115782
115784,115781
115787,115340
115787,115341
115787,120166
115788,115340
115788,115341
115788,120166
115789,120167
115789,115352
115789,115062
115790,115352
115790,115062
115791,115789
115791,115790
115791,120135
115792,115791
115793,115791
115794,115787
115794,115788
115794,115377
115794,120168
115794,115062
115795,115377
115796,115794
115797,115377
115797,120168
115798,115797
115799,115797
115799,115801
115800,115798
115801,115788
115801,115791
115801,118441
115801,120026
115802,115788
115802,118441
115802,120026
115803,115802
115804,115802
115805,115788
115805,115791
115805,118438
115806,115793
115806,115805
115806,120026
115807,115805
115808,115805
115809,115805
115810,115788
115810,118441
115810,114931
115810,120026
115812,120135
115812,116876
115813,115377
115813,120168
115814,115805
115814,120135
115815,115805
115816,115793
115816,115801
115817,115794
115822,115797
115822,115798
115823,115798
115824,115799
115828,115801
115830,118441
115830,120135
115831,115802
115831,115803
115832,115802
115833,115805
115834,115805
115834,115806
115835,115805
115835,115806
115839,115810
115840,115810
115841,115810
115842,115849
115842,115850
115843,115810
115844,115837
115848,115810
115849,115810
115850,115810
115851,115810
115852,115810
115853,115798
115854,115798
115856,115794
115856,115797
115856,115798
115856,115801
115856,115802
115856,115805
115856,115810
115856,115813
115857,115802
115857,115810
115859,115802
115860,115810
115861,115802
115862,115801
115862,115802
115863,115801
115865,115801
115867,114870
115867,114876
115869,116746
115869,116757
115872,116746
115872,116757
115873,116746
115873,116757
115874,116746
115874,116757
115875,116746
115875,116757
115876,116746
115876,116757
115877,116746
115877,116757
115878,116746
115878,116757
115879,116746
115879,116757
115880,116746
115880,116757
115881,116746
115881,116757
115883,119684
115883,119865
115886,115891
115893,116746
115893,116757
115894,116746
115894,116757
115897,116746
115897,116757
115899,116746
115899,116757
115901,116746
115901,116757
115902,116746
115902,116757
115903,116746
115903,116757
115904,116746
115904,116757
115909,115908
115910,116964
115910,118187
115912,115911
115914,116765
115914,115074
115914,120126
115914,120136
115915,115074
115915,120135
115916,115915
115916,116876
115917,115915
115917,115916
115917,115918
115917,115922
115917,115928
115917,120026
115918,115915
115918,115928
115919,115915
115919,115916
115919,115918
115919,115922
115919,115928
115919,120026
115920,114935
115921,115915
115921,115922
115921,115928
115921,120026
115922,120135
115923,120026
115923,115921
115923,115928
115923,115918
115925,115074
115925,114931
115927,115919
115928,120219
115928,120136
115928,115074
115928,115789
115928,115790
115929,115964
115929,115973
115929,115974
115929,115980
115929,115917
115931,115919
115932,115916
115932,120135
115933,115907
115934,115919
115937,115950
115937,115936
115937,115936
115941,115924
115942,115377
115942,118359
115942,120168
115944,115929
115946,115950
115946,115936
115951,118523
115955,114935
115958,115954
115959,114943
115959,114931
115960,114935
115964,114935
115965,115964
115966,115964
115967,115966
115968,115960
115968,119691
115968,115965
115968,115967
115969,115965
115972,119010
115972,119691
